ent_id,ent_type,registered_fund,employee_cnt,anche_year,assgro,liagro,vendinc,maibusinc,progro,netinc,ratgro,totequ,pat_cnt,mark_cnt,soft_cnt,works_cnt,ass_lia_rat,ROA,IP,loss_cnt
49907052,有限责任公司分公司（自然人投资或控股的法人独资）,0,0,2018,0,0,1.7572,0,0,0.01,0.00132,0,0,0,0,0,0,0.000000984,0,0
14872150,个人独资企业,10,1,2018,10,0,5,3,1,0.1,0,8,0,1,0,0,0,0.00000984,1,0
51864393,有限责任公司（自然人投资或控股）,2000,0,2019,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,1
15726757,有限责任公司（自然人投资或控股）,1006,7,2020,2309.15,1885.68,1310.85,1310.85,-0.41,-0.41,18.62,423.47,0,0,0,0,0.816612231,-0.0000403,0,2
13204144,有限责任公司（自然人投资或控股）,3080,12,2020,6792,3934,6426,6426,271,193,345,2858,0,0,0,0,0.579210836,0.01898666,0,0
64725527,有限责任公司（自然人独资�?0,200,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14998891,股份有限公司分公司（非上市）,0,0,2020,0,0,0,5319.27,0,-108.04,0.47,0,0,0,0,0,0,-0.010628595,0,2
14388037,有限责任公司（自然人独资�?2,1000,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14261647,有限责任公司（自然人独资�?11,200,2020,206.55,74.52,982.92,982.92,-10.33,-10.33,26.08,132.03,0,0,0,0,0.360784292,-0.001016229,0,4,0
43730054,有限责任公司（自然人独资�?6,100,2020,8,0,14,14,13,1,1,8,0,0,0,0,0,0.0000984,0,0,0
55473049,有限责任公司（自然人独资�?0,1000,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15654907,有限责任公司（法人独资）,3000,60,2018,9177.81,1220.94,1223.14,340.69,545.5,306.16,386.54,10398.8,0,2,0,0,0.133031736,0.030118943,2,0
57699452,有限责任公司（自然人独资�?0,100,2020,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60037107,有限责任公司（自然人投资或控股）,100,0,2018,27.1197,15.5587,17.3786,17.3786,1.73382,1.56036,0.638748,11.5611,0,0,0,0,0.57370472,0.000153503,0,0
67163211,有限责任公司（自然人独资�?0,1000,2019,0,0.2,0.7,0.7,-0.2,-0.2,0,-0.2,0,0,0,0,0,-0.0000197,0,2,0
14519048,有限责任公司（法人独资）,1900,12,2019,870.39,1602.22,7009.45,7009.45,-1163.87,-1163.87,2.07,-731.83,33,0,86,0,1.84080693,-0.114497432,119,3
14676163,有限责任公司（自然人投资或控股）,10,4,2017,8.52523,9.3788,17.649,17.649,-0.85357,-0.85357,0,-0.85357,0,0,0,0,1.100122805,-0.000084,0,1
13092542,有限责任公司,1000,0,2020,7.69,21.87,0,0,-0.11,-0.11,0,-14.17,0,0,0,0,2.843953274,-0.0000108,0,4
14242095,有限责任公司（自然人投资或控股）,500,42,2019,3622,5858,1646,445,-666,-666,2.6,-2235,2,12,0,0,1.617338487,-0.065518735,14,4
14726801,有限责任公司（自然人投资或控股）,30,0,2017,36.96,0.02,24.27,24.27,-3.92,-4.16,1.5,36.93,0,0,0,0,0.000541126,-0.000409246,0,4
15517754,有限责任公司（非自然人投资或控股的法人独资）,5000,0,2020,2314,9565,257,257,-229,-229,9,1593,0,0,0,0,4.133535004,-0.022528214,0,4
43718230,有限责任公司（自然人投资或控股）,1000,4,2018,605.28,974.24,14.82,14.82,-231.52,-231.52,0.2,-368.96,0,2,0,0,1.609569031,-0.022776123,2,4
13386693,有限责任公司（自然人独资�?1,100,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
14483299,有限责任公司（自然人独资�?1,2,2018,1,5.2,2.68,2.68,-1.32,-1.32,0,-6.2,0,0,0,0,5.199999809,-0.000129857,0,4,
14952998,有限责任公司（自然人独资�?32,100,2020,985.8,1494.8,0,0,-1.9,-1.9,0,-509,0,0,0,0,1.516331981,-0.000186915,0,4,
43718221,有限责任公司（自然人投资或控股）,100,5,2018,2.25,2.69,1.99,1.99,-0.31,-0.31,0,-0.44,0,0,0,0,1.195555581,-0.0000305,0,4
55635604,有限责任公司（自然人独资�?0,300,2019,2.5147,21.2825,2.52427,2.52427,-6.52035,-6.52035,0,-18.7678,0,0,0,0,8.463236114,-0.000641449,0,3,
14917125,有限责任公司（自然人独资�?5,50,2018,201.95,240.29,26.53,26.53,-2.17,-2.17,0.73,-38.34,0,0,0,0,1.189848957,-0.000213477,0,4,
15075276,有限责任公司（自然人投资或控股）,1000,3,2017,33.04,61.09,13.15,13.15,-12.17,-12.31,0.35,-28.05,0,0,0,0,1.848970898,-0.001211014,0,4
