ent_id,ent_type,registered_fund,employee_cnt,anche_year,assgro,liagro,vendinc,maibusinc,progro,netinc,ratgro,totequ,pat_cnt,mark_cnt,soft_cnt,works_cnt,ass_lia_rat,ROA,IP,loss_cnt,Label
49907052,有限责任公司分公司（自然人投资或控股的法人独资）,0,0,2018,,,1.7572,,,0.01,0.00132,,0,0,0,0,,0.000000984,0,0,0
14872150,个人独资企业,10,1,2018,10,0,5,3,1,0.1,0,8,0,1,0,0,0,0.00000984,1,0,0
51864393,有限责任公司（自然人投资或控股）,2000,0,2019,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,1,0
15726757,有限责任公司（自然人投资或控股）,1006,7,2020,2309.15,1885.68,1310.85,1310.85,-0.41,-0.41,18.62,423.47,0,0,0,0,0.816612231,-0.0000403,0,2,0
13204144,有限责任公司（自然人投资或控股）,3080,12,2020,6792,3934,6426,6426,271,193,345,2858,0,0,0,0,0.579210836,0.01898666,0,0,0
64725527,有限责任公司（自然人独资�?0,200,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
14998891,股份有限公司分公司（非上市）,0,0,2020,,,,5319.27,,-108.04,0.47,,0,0,0,0,,-0.010628595,0,2,0
14388037,有限责任公司（自然人独资�?2,1000,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
14261647,有限责任公司（自然人独资�?11,200,2020,206.55,74.52,982.92,982.92,-10.33,-10.33,26.08,132.03,0,0,0,0,0.360784292,-0.001016229,0,4,,0
43730054,有限责任公司（自然人独资�?6,100,2020,8,0,14,14,13,1,1,8,0,0,0,0,0,0.0000984,0,0,,0
55473049,有限责任公司（自然人独资�?0,1000,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
15654907,有限责任公司（法人独资）,3000,60,2018,9177.81,1220.94,1223.14,340.69,545.5,306.16,386.54,10398.8,0,2,0,0,0.133031736,0.030118943,2,0,0
57699452,有限责任公司（自然人独资�?0,100,2020,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
60037107,有限责任公司（自然人投资或控股）,100,0,2018,27.1197,15.5587,17.3786,17.3786,1.73382,1.56036,0.638748,11.5611,0,0,0,0,0.57370472,0.000153503,0,0,0
67163211,有限责任公司（自然人独资�?0,1000,2019,0,0.2,0.7,0.7,-0.2,-0.2,0,-0.2,0,0,0,0,0,-0.0000197,0,2,,0
14519048,有限责任公司（法人独资）,1900,12,2019,870.39,1602.22,7009.45,7009.45,-1163.87,-1163.87,2.07,-731.83,33,0,86,0,1.84080693,-0.114497432,119,3,0
14676163,有限责任公司（自然人投资或控股）,10,4,2017,8.52523,9.3788,17.649,17.649,-0.85357,-0.85357,0,-0.85357,0,0,0,0,1.100122805,-0.000084,0,1,0
58472647,有限责任公司（自然人独资�?0,500,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
13263461,有限责任公司（自然人独资�?2,10,2017,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,2,,0
70230472,有限责任公司（自然人投资或控股）,100,0,2020,186.39,169.02,272.91,272.91,17.37,17.37,13.03,17.37,0,0,0,0,0.906808331,0.0017088,0,0,0
56365013,个人独资企业,100,0,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
